state;ab;population;total area;land area;real gdp
Alabama;AL;5024279;135767;50645;25411
Alaska;AK;733391;1723337;570641;57349
Arizona;AZ;7151502;295234;113594;420027
Arkansas;AR;3011524;137732;52035;148676
California;CA;39538223;423967;155779;3373241
Colorado;CO;5773714;269601;103642;436359
Connecticut;CT;3605944;14357;4842;298395
Delaware;DE;989948;6446;1949;8116
Florida;FL;21538187;170312;53625;1255558
Georgia;GA;10711908;15391;57513;691627
Hawaii;HI;1455271;28313;6423;91096
Idaho;ID;1839106;216443;82643;96283
Illinois;IL;12812508;149995;55519;945674
Indiana;IN;6785528;94326;35826;412975
Iowa;IA;3190369;145746;55857;21686
Kansas;KS;2937880;2131;81759;191381
Kentucky;KY;4505836;104656;39486;237182
Louisiana;LA;4657757;135659;43204;258571
Maine;ME;1362359;91633;30843;77963
Maryland;MD;6177224;32131;9707;44393
Massachusetts;MA;7029917;27336;78;641332
Michigan;MI;10077331;250487;56539;572206
Minnesota;MN;5706494;225163;79627;412459
Mississippi;MS;2961279;125438;46923;127308
Missouri;MO;6154913;18054;68742;358572
Montana;MT;1084225;380831;145546;587
Nebraska;NE;1961504;20033;76824;146285
Nevada;NV;3104614;28638;109781;194487
New Hampshire;NH;1377529;24214;8953;99673
New Jersey;NJ;9288994;22591;7354;682946
New Mexico;NM;2117522;314917;121298;109583
New York;NY;20201249;141297;47126;1901297
North Carolina;NC;10439388;139391;48618;662121
North Dakota;ND;779094;183108;69001;6356
Ohio;OH;11799448;116098;40861;756617
Oklahoma;OK;3959353;181037;68595;215336
Oregon;OR;4237256;254799;95988;272191
Pennsylvania;PA;13002700;11928;44743;844496
Rhode Island;RI;1097379;4001;1034;66571
South Carolina;SC;5118425;82933;30061;269802
South Dakota;SD;886667;199729;75811;61685
Tennessee;TN;6910840;109153;41235;427125
Texas;TX;29145505;695662;261232;2051769
Utah;UT;3271616;219882;8217;22534
Vermont;VT;643077;24906;9217;37104
Virginia;VA;8631393;110787;3949;604958
Washington;WA;7705281;184661;66456;677489
West Virginia;WV;1793716;62756;24038;85434
Wisconsin;WI;5893718;169635;54158;368611
Wyoming;WY;576851;253335;97093;4151
District of Columbia;DC;689545;176;158;15367
American Samoa;AS;49710;1505;198;709
Guam;GU;153836;1478;543;584
Northern Marian Islands;MP;47329;5117;472;858
Puerto Rico;PR;3285874;13791;8868;10314
U.S. Virgin Islands;VI;87146;1898;348;42
